Date,Open_pkr,High_pkr,Low_pkr,Close_pkr,Adj Close_pkr,Open_inr,High_inr,Low_inr,Close_inr,Adj Close_inr,Open,High,Low,Close,Adj Close,PKR_pct_change,INR_pct_change,CNY_pct_change
2004-01-05,55.42,55.42,55.42,57.1,57.1,45.53,45.56,45.46,45.47,45.47,8.27,8.27,8.27,8.27,8.27,0.0,-0.3,0.0
2004-01-06,55.26,55.26,55.26,57.1,57.1,45.47,45.6,45.46,45.55,45.55,8.27,8.27,8.27,8.27,8.27,0.0,0.18,0.0
2004-01-07,57.35,57.35,57.35,57.35,57.35,45.55,45.56,45.38,45.39,45.39,8.27,8.27,8.27,8.27,8.27,0.44,-0.36,0.0
2004-01-08,55.34,55.34,55.34,57.35,57.35,45.39,45.49,45.35,45.47,45.47,8.27,8.27,8.26,8.27,8.27,0.0,0.18,0.0
2004-01-09,55.33,57.35,55.33,57.35,57.35,45.46,45.49,45.23,45.35,45.35,8.27,8.27,8.26,8.27,8.27,0.0,-0.26,-0.0
2004-01-12,57.35,57.35,57.35,57.35,57.35,45.33,45.4,45.3,45.34,45.34,8.27,8.27,8.27,8.27,8.27,0.0,-0.02,0.0
2004-01-13,55.49,55.49,55.49,57.35,57.35,45.35,45.37,45.23,45.31,45.31,8.27,8.27,8.27,8.27,8.27,0.0,-0.07,-0.0
2004-01-14,55.44,55.44,55.44,57.35,57.35,45.31,45.41,45.24,45.33,45.33,8.27,8.27,8.26,8.27,8.27,0.0,0.03,0.0
2004-01-15,55.39,55.39,55.39,57.35,57.35,45.33,45.39,45.3,45.35,45.35,8.27,8.27,8.27,8.27,8.27,0.0,0.05,-0.0
2004-01-16,55.48,55.48,55.48,57.35,57.35,45.34,45.38,45.3,45.33,45.33,8.27,8.27,8.27,8.27,8.27,0.0,-0.05,0.0
2004-01-19,57.3,57.3,57.3,57.3,57.3,45.36,45.36,45.3,45.33,45.33,8.27,8.27,8.27,8.27,8.27,-0.09,0.01,0.0
2004-01-20,55.14,55.14,55.14,57.3,57.3,45.34,45.36,45.3,45.33,45.33,8.27,8.27,8.27,8.27,8.27,0.0,-0.01,0.0
2004-01-21,55.3,55.3,55.3,57.3,57.3,45.34,45.39,45.28,45.31,45.31,8.27,8.27,8.27,8.27,8.27,0.0,-0.05,0.0
2004-01-22,55.3,55.3,55.3,57.3,57.3,45.33,45.34,45.27,45.32,45.32,8.27,8.27,8.27,8.27,8.27,0.0,0.03,0.0
2004-01-23,55.46,55.46,55.46,57.3,57.3,45.31,45.34,45.23,45.24,45.24,8.27,8.27,8.27,8.27,8.27,0.0,-0.17,0.0
2004-01-26,57.3,57.3,57.3,57.3,57.3,45.25,45.28,45.19,45.23,45.23,8.27,8.27,8.27,8.27,8.27,0.0,-0.04,0.0
2004-01-27,57.2,57.2,57.2,57.2,57.2,45.23,45.29,45.19,45.27,45.27,8.27,8.27,8.27,8.27,8.27,-0.17,0.1,0.0
2004-01-28,55.23,55.23,55.23,57.2,57.2,45.27,45.33,45.21,45.25,45.25,8.27,8.27,8.27,8.27,8.27,0.0,-0.04,0.0
2004-01-29,55.24,55.24,55.24,57.2,57.2,45.26,45.3,45.17,45.27,45.27,8.27,8.27,8.27,8.27,8.27,0.0,0.04,-0.0
2004-01-30,55.15,55.15,55.15,57.2,57.2,45.26,45.29,45.0,45.0,45.0,8.27,8.27,8.26,8.27,8.27,0.0,-0.59,-0.0
2004-02-02,55.33,55.33,55.33,57.2,57.2,45.15,45.22,45.13,45.17,45.17,8.27,8.27,8.27,8.27,8.27,0.0,0.38,0.0
2004-02-03,56.9,56.9,56.9,55.26,55.26,45.21,45.23,45.17,45.21,45.21,8.27,8.27,8.27,8.27,8.27,-3.39,0.07,0.0
2004-02-04,55.26,55.26,55.26,56.9,56.9,45.21,45.23,45.17,45.21,45.21,8.27,8.27,8.27,8.27,8.27,2.97,0.0,0.0
2004-02-05,55.21,55.21,55.21,56.9,56.9,45.21,45.24,45.15,45.21,45.21,8.27,8.27,8.27,8.27,8.27,0.0,-0.01,0.0
2004-02-06,55.43,55.43,55.43,56.9,56.9,45.19,45.22,45.1,45.17,45.17,8.27,8.27,8.26,8.27,8.27,0.0,-0.08,0.0
2004-02-09,57.2,57.2,55.56,57.2,57.2,45.17,45.21,45.1,45.19,45.19,8.27,8.27,8.27,8.27,8.27,0.53,0.05,0.0
2004-02-10,55.26,55.26,55.26,57.2,57.2,45.19,45.2,45.08,45.18,45.18,8.27,8.27,8.27,8.27,8.27,0.0,-0.02,-0.0
2004-02-11,55.27,57.0,55.27,57.0,57.0,45.19,45.2,45.12,45.19,45.19,8.27,8.27,8.27,8.27,8.27,-0.35,0.01,-0.0
2004-02-12,55.31,55.31,55.31,57.0,57.0,45.19,45.2,45.1,45.2,45.2,8.27,8.27,8.27,8.27,8.27,0.0,0.03,0.0
2004-02-13,55.29,57.0,55.29,57.0,57.0,45.19,45.36,45.1,45.36,45.36,8.27,8.27,8.27,8.27,8.27,0.0,0.36,-0.0
2004-02-16,55.35,55.35,55.35,57.0,57.0,45.18,45.22,45.14,45.18,45.18,8.27,8.27,8.27,8.27,8.27,0.0,-0.4,0.0
2004-02-17,55.41,55.41,55.41,57.0,57.0,45.18,45.23,45.15,45.2,45.2,8.27,8.27,8.27,8.27,8.27,0.0,0.04,-0.0
2004-02-18,55.42,55.42,55.42,57.0,57.0,45.21,45.22,45.13,45.17,45.17,8.27,8.27,8.27,8.27,8.27,0.0,-0.07,0.0
2004-02-19,57.18,57.18,57.18,57.18,57.18,45.18,45.22,45.14,45.19,45.19,8.27,8.27,8.27,8.27,8.27,0.32,0.05,0.0
2004-02-20,57.24,57.24,57.24,55.62,55.62,45.19,45.21,45.12,45.17,45.17,8.27,8.27,8.27,8.27,8.27,-2.72,-0.05,0.0
2004-02-23,55.31,55.31,55.31,57.24,57.24,45.17,45.29,45.14,45.17,45.17,8.27,8.27,8.27,8.27,8.27,2.91,0.0,0.0
2004-02-24,55.3,55.3,55.3,57.24,57.24,45.17,45.23,45.15,45.21,45.21,8.27,8.27,8.27,8.27,8.27,0.0,0.09,-0.0
